Code,Network,,,Station,Component,Items,Start time,End time,Comments,,,,,,,,
0,XA,,,S11,MH1,1,1969-08-27T00:00:00.000000Z,1977-09-30T23:59:59.999999Z,"PSE STANDBY mode. Station 11 operated for 20 Earth days before loss of the ALSEP central station command uplink terminated seismometer functions such as leveling, gain adjustments, and calibration.",,,,,,,,
0,XA,,,S11,MH2,1,1969-08-27T00:00:00.000000Z,1977-09-30T23:59:59.999999Z,"PSE STANDBY mode. Station 11 operated for 20 Earth days before loss of the ALSEP central station command uplink terminated seismometer functions such as leveling, gain adjustments, and calibration.",,,,,,,,
0,XA,,,S11,MHZ,1,1969-08-27T00:00:00.000000Z,1977-09-30T23:59:59.999999Z,"PSE STANDBY mode. Station 11 operated for 20 Earth days before loss of the ALSEP central station command uplink terminated seismometer functions such as leveling, gain adjustments, and calibration.",,,,,,,,
0,XA,,,S11,SHZ,1,1969-08-27T00:00:00.000000Z,1977-09-30T23:59:59.999999Z,"PSE STANDBY mode. Station 11 operated for 20 Earth days before loss of the ALSEP central station command uplink terminated seismometer functions such as leveling, gain adjustments, and calibration.",,,,,,,,
0,XA,,,S12,SHZ,2,1969-11-19T00:00:00.000000Z,1977-09-30T23:59:59.999999Z,"SPZ component displaying reduced sensitivity at low signal levels. The other three seismometers (LPX, LPY, LPZ) have operated properly since initial activation.",,,,,,,,
2,XA,,,S12,MH1,3,1969-11-22T00:00:00.000000Z,1977-09-30T23:59:59.999999Z,"Thermal control problems. These thermal disturbances were most intense near sunrise and sunset. They are believed to be due to thermal contraction and expansion of the aluminized Mylar shroud that covers the sensor unit or to thermal contraction and expansion of the cable connecting the sensor unit to the central station, or both.",,,,,,,,
2,XA,,,S12,MH2,3,1969-11-22T00:00:00.000000Z,1977-09-30T23:59:59.999999Z,"Thermal control problems. These thermal disturbances were most intense near sunrise and sunset. They are believed to be due to thermal contraction and expansion of the aluminized Mylar shroud that covers the sensor unit or to thermal contraction and expansion of the cable connecting the sensor unit to the central station, or both.",,,,,,,,
2,XA,,,S12,MHZ,3,1969-11-22T00:00:00.000000Z,1977-09-30T23:59:59.999999Z,"Thermal control problems. These thermal disturbances were most intense near sunrise and sunset. They are believed to be due to thermal contraction and expansion of the aluminized Mylar shroud that covers the sensor unit or to thermal contraction and expansion of the cable connecting the sensor unit to the central station, or both.",,,,,,,,
2,XA,,,S12,SHZ,3,1969-11-22T00:00:00.000000Z,1977-09-30T23:59:59.999999Z,"Thermal control problems. These thermal disturbances were most intense near sunrise and sunset. They are believed to be due to thermal contraction and expansion of the aluminized Mylar shroud that covers the sensor unit or to thermal contraction and expansion of the cable connecting the sensor unit to the central station, or both.",,,,,,,,
2,XA,,,S14,MH1,4,1971-02-12T00:00:00.000000Z,1977-09-30T23:59:59.999999Z,"Thermal control problems. The modified thermal shroud used on Apollo 14 provided improved thermal control. It was found that if the heater was commanded OFF for lunar day and AUTO for lunar night, the PSE temperature remained within the expected range for Apollo 14.",,,,,,,,
2,XA,,,S14,MH2,4,1971-02-12T00:00:00.000000Z,1977-09-30T23:59:59.999999Z,"Thermal control problems. The modified thermal shroud used on Apollo 14 provided improved thermal control. It was found that if the heater was commanded OFF for lunar day and AUTO for lunar night, the PSE temperature remained within the expected range for Apollo 14.",,,,,,,,
2,XA,,,S14,MHZ,4,1971-02-12T00:00:00.000000Z,1977-09-30T23:59:59.999999Z,"Thermal control problems. The modified thermal shroud used on Apollo 14 provided improved thermal control. It was found that if the heater was commanded OFF for lunar day and AUTO for lunar night, the PSE temperature remained within the expected range for Apollo 14.",,,,,,,,
2,XA,,,S14,SHZ,4,1971-02-12T00:00:00.000000Z,1977-09-30T23:59:59.999999Z,"Thermal control problems. The modified thermal shroud used on Apollo 14 provided improved thermal control. It was found that if the heater was commanded OFF for lunar day and AUTO for lunar night, the PSE temperature remained within the expected range for Apollo 14.",,,,,,,,
2,XA,,,S15,MH1,6,1971-08-13T00:00:00.000000Z,1977-09-30T23:59:59.999999Z,"Thermal control degradation. Review of lunar surface photographs showed that the periphery of the thermal shroud did not lie flat on the lunar surface. The incomplete deployment of the shroud resulted in excessive thermal leaks and loss of tidal data. For subsequent missions, crew training emphasized the need for the periphery of the shroud to be flat on the surface.",,,,,,,,
2,XA,,,S15,MH2,6,1971-08-13T00:00:00.000000Z,1977-09-30T23:59:59.999999Z,"Thermal control degradation. Review of lunar surface photographs showed that the periphery of the thermal shroud did not lie flat on the lunar surface. The incomplete deployment of the shroud resulted in excessive thermal leaks and loss of tidal data. For subsequent missions, crew training emphasized the need for the periphery of the shroud to be flat on the surface.",,,,,,,,
2,XA,,,S15,MHZ,6,1971-08-13T00:00:00.000000Z,1977-09-30T23:59:59.999999Z,"Thermal control degradation. Review of lunar surface photographs showed that the periphery of the thermal shroud did not lie flat on the lunar surface. The incomplete deployment of the shroud resulted in excessive thermal leaks and loss of tidal data. For subsequent missions, crew training emphasized the need for the periphery of the shroud to be flat on the surface.",,,,,,,,
2,XA,,,S15,SHZ,6,1971-08-13T00:00:00.000000Z,1977-09-30T23:59:59.999999Z,"Thermal control degradation. Review of lunar surface photographs showed that the periphery of the thermal shroud did not lie flat on the lunar surface. The incomplete deployment of the shroud resulted in excessive thermal leaks and loss of tidal data. For subsequent missions, crew training emphasized the need for the periphery of the shroud to be flat on the surface.",,,,,,,,
0,XA,,,S14,MHZ,5,1972-03-20T00:00:00.000000Z,1976-11-17T00:00:00.000000Z,LPZ axis inoperative. Analysis of the problem indicated this failure was either component failure or a wire connection problem. It was concluded that the failure was random rather than generic. On 1976-11-17 the long period z-axis responded to leveling; calibration and seismic events possible for the first time since Mar. 1972. Feedback loop filter OUT. ???? Note clear when/if this problem was fixed. ,,,,,,,,
2,XA,,,S16,MH1,7,1972-04-24T00:00:00.000000Z,1977-09-30T23:59:59.999999Z,"High temperature during lunar day. Photographs of the deployed experiment, television coverage of the lunar module ascent, and comments by the crew indicated the following possible causes of the problem: (1) some raised portions of the shroud, (2) dirt on the shroud from crew traffic subsequent to the photography, (3) debris from lift-off, and (4) possible contact of the experiment with the lunar surface. Any of the above conditions could cause degraded thermal control, resulting in higher temperatures during lunar day.",,,,,,,,
2,XA,,,S16,MH2,7,1972-04-24T00:00:00.000000Z,1977-09-30T23:59:59.999999Z,"High temperature during lunar day. Photographs of the deployed experiment, television coverage of the lunar module ascent, and comments by the crew indicated the following possible causes of the problem: (1) some raised portions of the shroud, (2) dirt on the shroud from crew traffic subsequent to the photography, (3) debris from lift-off, and (4) possible contact of the experiment with the lunar surface. Any of the above conditions could cause degraded thermal control, resulting in higher temperatures during lunar day.",,,,,,,,
2,XA,,,S16,MHZ,7,1972-04-24T00:00:00.000000Z,1977-09-30T23:59:59.999999Z,"High temperature during lunar day. Photographs of the deployed experiment, television coverage of the lunar module ascent, and comments by the crew indicated the following possible causes of the problem: (1) some raised portions of the shroud, (2) dirt on the shroud from crew traffic subsequent to the photography, (3) debris from lift-off, and (4) possible contact of the experiment with the lunar surface. Any of the above conditions could cause degraded thermal control, resulting in higher temperatures during lunar day.",,,,,,,,
2,XA,,,S16,SHZ,7,1972-04-24T00:00:00.000000Z,1977-09-30T23:59:59.999999Z,"High temperature during lunar day. Photographs of the deployed experiment, television coverage of the lunar module ascent, and comments by the crew indicated the following possible causes of the problem: (1) some raised portions of the shroud, (2) dirt on the shroud from crew traffic subsequent to the photography, (3) debris from lift-off, and (4) possible contact of the experiment with the lunar surface. Any of the above conditions could cause degraded thermal control, resulting in higher temperatures during lunar day.",,,,,,,,
2,XA,,,S12,MH1,8,1974-10-16T00:00:00.000000Z,1975-04-09T00:00:00.000000Z,"The instrument was commanded to operate with the feedback filter IN. The principal investigator requested this operation to obtain data for comparison with data from filter OUT operation. The instrument performed satisfactorily with the feedback filter IN. Test was completed on Apr. 9, 1975, and the instrument was returned to the feedback filter OUT mode.",,,,,,,,
2,XA,,,S12,MH2,8,1974-10-16T00:00:00.000000Z,1975-04-09T00:00:00.000000Z,"The instrument was commanded to operate with the feedback filter IN. The principal investigator requested this operation to obtain data for comparison with data from filter OUT operation. The instrument performed satisfactorily with the feedback filter IN. Test was completed on Apr. 9, 1975, and the instrument was returned to the feedback filter OUT mode.",,,,,,,,
2,XA,,,S12,MHZ,8,1974-10-16T00:00:00.000000Z,1975-04-09T00:00:00.000000Z,"The instrument was commanded to operate with the feedback filter IN. The principal investigator requested this operation to obtain data for comparison with data from filter OUT operation. The instrument performed satisfactorily with the feedback filter IN. Test was completed on Apr. 9, 1975, and the instrument was returned to the feedback filter OUT mode.",,,,,,,,
2,XA,,,S12,MH1,8a,1975-04-09T00:00:00.000000Z,1975-06-28T00:00:00.000000Z,Feedback filter OUT mode.,,,,,,,,
2,XA,,,S12,MH2,8a,1975-04-09T00:00:00.000000Z,1975-06-28T00:00:00.000000Z,Feedback filter OUT mode.,,,,,,,,
2,XA,,,S12,MHZ,8a,1975-04-09T00:00:00.000000Z,1975-06-28T00:00:00.000000Z,Feedback filter OUT mode.,,,,,,,,
2,XA,,,S12,MH1,9,1974-11-07T00:00:00.000000Z,1977-09-30T23:59:59.999999Z,"An operational check on Nov. 7, 8 and 9, 1974, indicated that the heater could not be set in the auto OFF or forced OFF modes. Preliminary analysis indicated the cause of the the failure to be that the heater ON/OFF relay driver circuit failed ""closed"" allowing +29 V dc power to be applied at all times.",,,,,,,,
2,XA,,,S12,MH2,9,1974-11-07T00:00:00.000000Z,1977-09-30T23:59:59.999999Z,"An operational check on Nov. 7, 8 and 9, 1974, indicated that the heater could not be set in the auto OFF or forced OFF modes. Preliminary analysis indicated the cause of the the failure to be that the heater ON/OFF relay driver circuit failed ""closed"" allowing +29 V dc power to be applied at all times.",,,,,,,,
2,XA,,,S12,MHZ,9,1974-11-07T00:00:00.000000Z,1977-09-30T23:59:59.999999Z,"An operational check on Nov. 7, 8 and 9, 1974, indicated that the heater could not be set in the auto OFF or forced OFF modes. Preliminary analysis indicated the cause of the the failure to be that the heater ON/OFF relay driver circuit failed ""closed"" allowing +29 V dc power to be applied at all times.",,,,,,,,
2,XA,,,S12,SHZ,9,1974-11-07T00:00:00.000000Z,1977-09-30T23:59:59.999999Z,"An operational check on Nov. 7, 8 and 9, 1974, indicated that the heater could not be set in the auto OFF or forced OFF modes. Preliminary analysis indicated the cause of the the failure to be that the heater ON/OFF relay driver circuit failed ""closed"" allowing +29 V dc power to be applied at all times.",,,,,,,,
2,XA,,,S14,MH1,10,1975-03-05T00:00:00.000000Z,1975-03-14T00:00:00.000000Z,"No command capability; therefore, no leveling possible. Engineering data from the PSE were valid. Science data from the PSE could be used for a period of approximately 9 days when the long period y-axis moved from off scale high to off scale low (Sun angles 55° to 109°) and off scale low to off scale high (Sun angles 185° to 237°). When Apollo 14 central station uplink capability was lost, the PSE heater was in the forced OFF mode, for lunar daytime operation. The instrument remains in this configuration.",,,,,,,,
2,XA,,,S14,MH2,10,1975-03-05T00:00:00.000000Z,1975-03-14T00:00:00.000000Z,"No command capability; therefore, no leveling possible. Engineering data from the PSE were valid. Science data from the PSE could be used for a period of approximately 9 days when the long period y-axis moved from off scale high to off scale low (Sun angles 55° to 109°) and off scale low to off scale high (Sun angles 185° to 237°). When Apollo 14 central station uplink capability was lost, the PSE heater was in the forced OFF mode, for lunar daytime operation. The instrument remains in this configuration. 1976-05-24T00:00:00.000000Z Y-axis successfully leveled for first time since Mar. 1, 1975. (Note that the date in the file for loss of command capability is Mar. 5, 1975.)",,,,,,,,
2,XA,,,S14,MHZ,10,1975-03-05T00:00:00.000000Z,1975-03-14T00:00:00.000000Z,"No command capability; therefore, no leveling possible. Engineering data from the PSE were valid. Science data from the PSE could be used for a period of approximately 9 days when the long period y-axis moved from off scale high to off scale low (Sun angles 55° to 109°) and off scale low to off scale high (Sun angles 185° to 237°). When Apollo 14 central station uplink capability was lost, the PSE heater was in the forced OFF mode, for lunar daytime operation. The instrument remains in this configuration.",,,,,,,,
2,XA,,,S14,SHZ,10,1975-03-05T00:00:00.000000Z,1975-03-14T00:00:00.000000Z,"No command capability; therefore, no leveling possible. Engineering data from the PSE were valid. Science data from the PSE could be used for a period of approximately 9 days when the long period y-axis moved from off scale high to off scale low (Sun angles 55° to 109°) and off scale low to off scale high (Sun angles 185° to 237°). When Apollo 14 central station uplink capability was lost, the PSE heater was in the forced OFF mode, for lunar daytime operation. The instrument remains in this configuration.",,,,,,,,
2,XA,,,S14,MH1,10a,1975-03-14T00:00:00.000000Z,1977-09-30T23:59:59.999999Z,"9 days after levelling capacity lost, when the long period y-axis moved from off scale high to off scale low (Sun angles 55° to 109°) and off scale low to off scale high (Sun angles 185° to 237°). When Apollo 14 central station uplink capability was lost, the PSE heater was in the forced OFF mode, for lunar daytime operation. The instrument remains in this configuration. ???",,,,,,,,
2,XA,,,S14,MH2,10a 16b,1975-03-14T00:00:00.000000Z,1976-05-24T23:59:59.999999Z,"9 days after levelling capacity lost, when the long period y-axis moved from off scale high to off scale low (Sun angles 55° to 109°) and off scale low to off scale high (Sun angles 185° to 237°). When Apollo 14 central station uplink capability was lost, the PSE heater was in the forced OFF mode, for lunar daytime operation. The instrument remains in this configuration. Y-axis successfully levelled 1976-05-24.",,,,,,,,
2,XA,,,S14,MHZ,10a,1975-03-14T00:00:00.000000Z,1977-09-30T23:59:59.999999Z,"9 days after levelling capacity lost, when the long period y-axis moved from off scale high to off scale low (Sun angles 55° to 109°) and off scale low to off scale high (Sun angles 185° to 237°). When Apollo 14 central station uplink capability was lost, the PSE heater was in the forced OFF mode, for lunar daytime operation. The instrument remains in this configuration. ???",,,,,,,,
2,XA,,,S14,SHZ,10a,1975-03-14T00:00:00.000000Z,1977-09-30T23:59:59.999999Z,"9 days after levelling capacity lost, when the long period y-axis moved from off scale high to off scale low (Sun angles 55° to 109°) and off scale low to off scale high (Sun angles 185° to 237°). When Apollo 14 central station uplink capability was lost, the PSE heater was in the forced OFF mode, for lunar daytime operation. The instrument remains in this configuration. ???",,,,,,,,
2,XA,,,S12,MH1,11,1975-06-28T00:00:00.000000Z,1977-09-30T23:59:59.999999Z,Feedback filter IN. The instruments performed satisfactorily in this configuration.,,,,,,,,
2,XA,,,S12,MH2,11,1975-06-28T00:00:00.000000Z,1977-09-30T23:59:59.999999Z,Feedback filter IN. The instruments performed satisfactorily in this configuration.,,,,,,,,
2,XA,,,S12,MHZ,11,1975-06-28T00:00:00.000000Z,1977-09-30T23:59:59.999999Z,Feedback filter IN. The instruments performed satisfactorily in this configuration.,,,,,,,,
2,XA,,,S15,MH1,11,1975-06-28T00:00:00.000000Z,1977-09-30T23:59:59.999999Z,Feedback filter IN. The instruments performed satisfactorily in this configuration.,,,,,,,,
2,XA,,,S15,MH2,11,1975-06-28T00:00:00.000000Z,1977-09-30T23:59:59.999999Z,Feedback filter IN. The instruments performed satisfactorily in this configuration.,,,,,,,,
2,XA,,,S15,MHZ,11,1975-06-28T00:00:00.000000Z,1977-09-30T23:59:59.999999Z,Feedback filter IN. The instruments performed satisfactorily in this configuration.,,,,,,,,
2,XA,,,S16,MH1,11,1975-06-28T00:00:00.000000Z,1977-09-30T23:59:59.999999Z,???? Feedback  filter IN. The instruments performed satisfactorily in this configuration.,,,,,,,,
2,XA,,,S16,MH2,11,1975-06-28T00:00:00.000000Z,1977-09-30T23:59:59.999999Z,???? Feedback  filter IN. The instruments performed satisfactorily in this configuration.,,,,,,,,
2,XA,,,S16,MHZ,11,1975-06-28T00:00:00.000000Z,1977-09-30T23:59:59.999999Z,???? Feedback filter IN. The instruments performed satisfactorily in this configuration.,,,,,,,,
2,XA,,,S14,MH1,12,1975-08-31T00:00:00.000000Z,1977-09-30T23:59:59.999999Z,"Although no leveling has been accomplished on the PSE since Mar. 1, 1975, because of the loss of the command capability, a seismic event of these dates indicated that data were discernible on the long period x- and y-axis on the recorders. (Note that the date in the file for loss of command capability is Mar. 5, 1975.)",,,,,,,,
2,XA,,,S14,MH2,12,1975-08-31T00:00:00.000000Z,1977-09-30T23:59:59.999999Z,"Although no leveling has been accomplished on the PSE since Mar. 1, 1975, because of the loss of the command capability, a seismic event of these dates indicated that data were discernible on the long period x- and y-axis on the recorders. (Note that the date in the file for loss of command capability is Mar. 5, 1975.)",,,,,,,,
2,XA,,,S14,MHZ,12,1975-08-31T00:00:00.000000Z,1977-09-30T23:59:59.999999Z,"Although no leveling has been accomplished on the PSE since Mar. 1, 1975, because of the loss of the command capability, a seismic event of these dates indicated that data were discernible on the long period x- and y-axis on the recorders. (Note that the date in the file for loss of command capability is Mar. 5, 1975.) ???? what does it mean that it doesn’t work??? ",,,,,,,,
2,XA,,,S14,MH1,12a,1975-09-03T00:00:00.000000Z,1977-09-30T23:59:59.999999Z,"Although no leveling has been accomplished on the PSE since Mar. 1, 1975, because of the loss of the command capability, a seismic event of these dates indicated that data were discernible on the long period x- and y-axis on the recorders. (Note that the date in the file for loss of command capability is Mar. 5, 1975.)",,,,,,,,
2,XA,,,S14,MH2,12a,1975-09-03T00:00:00.000000Z,1977-09-30T23:59:59.999999Z,"Although no leveling has been accomplished on the PSE since Mar. 1, 1975, because of the loss of the command capability, a seismic event of these dates indicated that data were discernible on the long period x- and y-axis on the recorders. (Note that the date in the file for loss of command capability is Mar. 5, 1975.)",,,,,,,,
2,XA,,,S14,MHZ,12a,1975-09-03T00:00:00.000000Z,1977-09-30T23:59:59.999999Z,"Although no leveling has been accomplished on the PSE since Mar. 1, 1975, because of the loss of the command capability, a seismic event of these dates indicated that data were discernible on the long period x- and y-axis on the recorders. (Note that the date in the file for loss of command capability is Mar. 5, 1975.) ???? what does it mean that it doesn’t work??? ",,,,,,,,
2,XA,,,S12,MH1,13,1975-12-05T00:00:00.000000Z,1975-12-06T00:00:00.000000Z,Noise spike appeared in seismic data as a result of the third bit not setting in the PSE electronics analog-to-digital converter. Increasing the central station heat eliminated the problem. (Note - not clear when this problem was fixed) ???? ,,,,,,,,
2,XA,,,S12,MH2,13,1975-12-05T00:00:00.000000Z,1975-12-06T00:00:00.000000Z,Noise spike appeared in seismic data as a result of the third bit not setting in the PSE electronics analog-to-digital converter. Increasing the central station heat eliminated the problem. (Note - not clear when this problem was fixed) ???? ,,,,,,,,
2,XA,,,S12,MHZ,13,1975-12-05T00:00:00.000000Z,1975-12-06T00:00:00.000000Z,Noise spike appeared in seismic data as a result of the third bit not setting in the PSE electronics analog-to-digital converter. Increasing the central station heat eliminated the problem. (Note - not clear when this problem was fixed) ???? ,,,,,,,,
2,XA,,,S12,SHZ,13,1975-12-05T00:00:00.000000Z,1975-12-06T00:00:00.000000Z,Noise spike appeared in seismic data as a result of the third bit not setting in the PSE electronics analog-to-digital converter. Increasing the central station heat eliminated the problem. (Note - not clear when this problem was fixed) ???? ,,,,,,,,
2,XA,,,S14,MH1,14a,1976-02-19T00:00:00.000000Z,1976-02-20T00:00:00.000000Z,"With the return of uplink, subsequent attempts to command the feedback filter IN have shown the loop to be inoperative. The instrument was performing satisfactorily wth the filter out. The long period y-axis could not be leveled during the uplink capability period.",,,,,,,,
2,XA,,,S14,MH2,14a,1976-02-19T00:00:00.000000Z,1976-02-20T00:00:00.000000Z,"With the return of uplink, subsequent attempts to command the feedback filter IN have shown the loop to be inoperative. The instrument was performing satisfactorily wth the filter out. The long period y-axis could not be leveled during the uplink capability period.",,,,,,,,
2,XA,,,S14,MHZ,14a,1976-02-19T00:00:00.000000Z,1976-02-20T00:00:00.000000Z,"With the return of uplink, subsequent attempts to command the feedback filter IN have shown the loop to be inoperative. The instrument was performing satisfactorily wth the filter out. The long period y-axis could not be leveled during the uplink capability period.",,,,,,,,
2,XA,,,S14,SHZ,14a,1976-02-19T00:00:00.000000Z,1976-02-20T00:00:00.000000Z,"With the return of uplink, subsequent attempts to command the feedback filter IN have shown the loop to be inoperative. The instrument was performing satisfactorily wth the filter out. The long period y-axis could not be leveled during the uplink capability period.",,,,,,,,
2,XA,,,S14,MH1,14b,1976-02-19T00:00:00.000000Z,1976-09-18T00:00:00.000000Z,Feedback loop filter OUT.,,,,,,,,
2,XA,,,S14,MH2,14b,1976-02-19T00:00:00.000000Z,1976-09-18T00:00:00.000000Z,Feedback loop filter OUT.,,,,,,,,
2,XA,,,S14,MHZ,14b,1976-02-19T00:00:00.000000Z,1976-09-18T00:00:00.000000Z,Feedback loop filter OUT.,,,,,,,,
2,XA,,,S14,SHZ,14b,1976-02-19T00:00:00.000000Z,1976-09-18T00:00:00.000000Z,Feedback loop filter OUT.,,,,,,,,
2,XA,,,S14,MH1,15 16a,1976-03-17T00:00:00.000000Z,1976-05-20T00:00:00.000000Z,"When loss of downlink and uplink occurred with the Apollo 14 central station, the PSE was ON and the heater was in the forced OFF mode. With return of the downlink, the PSE was ON ??? When was the loss of the downlink? ",,,,,,,,
2,XA,,,S14,MH2,15 16a,1976-03-17T00:00:00.000000Z,1976-05-20T00:00:00.000000Z,"When loss of downlink and uplink occurred with the Apollo 14 central station, the PSE was ON and the heater was in the forced OFF mode. With return of the downlink, the PSE was ON ??? When was the loss of the downlink? ",,,,,,,,
2,XA,,,S14,MHZ,15 16a,1976-03-17T00:00:00.000000Z,1976-05-20T00:00:00.000000Z,"When loss of downlink and uplink occurred with the Apollo 14 central station, the PSE was ON and the heater was in the forced OFF mode. With return of the downlink, the PSE was ON ??? When was the loss of the downlink? ",,,,,,,,
2,XA,,,S14,SHZ,15 16a,1976-03-17T00:00:00.000000Z,1976-05-20T00:00:00.000000Z,"When loss of downlink and uplink occurred with the Apollo 14 central station, the PSE was ON and the heater was in the forced OFF mode. With return of the downlink, the PSE was ON ??? When was the loss of the downlink? ",,,,,,,,
2,XA,,,S14,MH1,16c,1976-06-27T00:00:00.000000Z,1976-09-18T00:00:00.000000Z,Feedback loop filter remains OUT.,,,,,,,,
2,XA,,,S14,MH2,16c,1976-06-27T00:00:00.000000Z,1976-09-18T00:00:00.000000Z,Feedback loop filter remains OUT.,,,,,,,,
2,XA,,,S14,MHZ,16c,1976-06-27T00:00:00.000000Z,1976-09-18T00:00:00.000000Z,Feedback loop filter remains OUT.,,,,,,,,
2,XA,,,S14,SPZ,16c,1976-06-27T00:00:00.000000Z,1976-09-18T00:00:00.000000Z,Feedback loop filter remains  OUT.,,,,,,,,
0,XA,,,S14,MH1,16d 16e,1976-06-08T00:00:00.000000Z,1976-06-11T00:00:00.000000Z,Lost downlink. When downlink resumed: instrument ON. Feedback filter OUT.,,,,,,,,
0,XA,,,S14,MH2,16d 16e,1976-06-08T00:00:00.000000Z,1976-06-11T00:00:00.000000Z,Lost downlink. When downlink resumed: instrument ON. Feedback filter OUT.,,,,,,,,
0,XA,,,S14,MHZ,16d 16e,1976-06-08T00:00:00.000000Z,1976-06-11T00:00:00.000000Z,Lost downlink. When downlink resumed: instrument ON. Feedback filter OUT.,,,,,,,,
0,XA,,,S14,SPZ,16d 16e,1976-06-08T00:00:00.000000Z,1976-06-11T00:00:00.000000Z,Lost downlink. When downlink resumed: instrument ON. Feedback filter OUT.,,,,,,,,
2,XA,,,S14,MH1,17a,1976-09-18T00:00:00.000000Z,1977-09-30T23:59:59.999999Z,Feedback filter IN.,,,,,,,,
2,XA,,,S14,MH2,17a,1976-09-18T00:00:00.000000Z,1977-09-30T23:59:59.999999Z,Feedback filter IN.,,,,,,,,
2,XA,,,S14,MHZ,17a,1976-09-18T00:00:00.000000Z,1977-09-30T23:59:59.999999Z,Feedback filter IN.,,,,,,,,
0,XA,,,S14,MH1,17b 17c,1976-10-09T00:00:00.000000Z,1976-11-12T00:00:00.000000Z,Loss of signal with instrument configured to ON. Signal resumed; instrument ON.,,,,,,,,
0,XA,,,S14,MH2,17b 17c,1976-10-09T00:00:00.000000Z,1976-11-12T00:00:00.000000Z,Loss of signal with instrument configured to ON. Signal resumed; instrument ON.,,,,,,,,
0,XA,,,S14,MHZ,17b 17c,1976-10-09T00:00:00.000000Z,1976-11-12T00:00:00.000000Z,Loss of signal with instrument configured to ON. Signal resumed; instrument ON.,,,,,,,,
0,XA,,,S14,SHZ,17b 17c,1976-10-09T00:00:00.000000Z,1976-11-12T00:00:00.000000Z,Loss of signal with instrument configured to ON. Signal resumed; instrument ON.,,,,,,,,
0,XA,,,S12,MHZ,18,1977-04-14T00:00:00.000000Z,1977-04-22T00:00:00.000000Z,The long period z-axs seismic data are static. At the end of the period  the long period z-axis returned to normal.,,,,,,,,
0,XA,,,S14,MHZ,20,1977-06-20T00:00:00.000000Z,1977-09-30T23:59:59.999999Z,Long period z-axs seismic data are static.,,,,,,,,